# accomplishments 채널에서 추린 인증 스크린샷 123건 (2026-08-29 수집)
# 형식: 날짜 / 설명 / Discord CDN 원본 URL
# 주의: Discord CDN 링크는 만료될 수 있다. 실제 사용 컷은 images/discord/archive/ 로 내려받을 것.
# base = https://cdn.discordapp.com/attachments/441859770849165322/
2023-02-25	fonewearl 솔로 클리어	1079053371056599140/image.png
2023-04-03	Rathalos 솔로 (3데스)	1092402556455637022/image.png
2023-04-05	Rathalos 솔로 개선	1093197253470068774/image.png
2024-03-10	이벤트 4번째 100 hit 무기 (type SW/J sword)	1216394538109894747/psobbw_2024-03-10_11-43-46.png
2024-03-16	Purplenum Halo 최초 획득	1218649577633218660/image.png
2024-09-08	Hit 0% → 80% 완성	1282427549468590155/image.png
2024-09-16	Nightmare 80 hit	1285083814389088389/image.png
2024-09-29	SS Rank 38'10 잔여	1289900928702611518/rad3810.png
2024-10-20	봉인 해제 성공	1297614242500972555/image.png
2024-11-11	솔로 RT 20분 벽 근접	1305353484727746621/image.png
2024-11-30	솔로 RT 19분 미만	1312228441139183667/image.png
2024-12-02	솔로 RT 18분 미만 (새 Dark Meteor)	1313264014079561728/image.png
2025-01-14	1/39 확률 드랍을 약 100판만에	1328593336063492188/image.png
2025-02-17	솔로 RT 17분 미만 최초	1340856489534947478/image.png
2025-03-03	Red Ring 드랍	1346234064792719490/image.png
2025-03-20	첫 클리어 (팀)	1352110141239201834/image.png
2025-05-16	Ramarl 솔로 RT 17분 미만	1372783016606175412/image.png
2025-05-19	Darkness Sphere — VR Cata 43판	1373876069094133850/image.png
2025-05-27	TPD Seabed sub-40분	1376942752960483550/ss40.png
2025-06-08	The Phantasmal Dimension 솔로 1:51:44	1381113542983422052/tpd.png
2025-06-13	Silent Nightmare 17분 미만	1383112172338548939/image.png
2025-06-21	V803 재제작	1386113279490789478/image.png
2025-06-22	솔로 RT sub-16 (PHANTASMAL FIELD)	1386382468801630249/image.png
2025-06-29	Jointparts 획득	1388751544337305632/d0dc72bc-b9a6-4c4b-91f3-4978db17fa51.png
2025-07-05	TPD 보스 enrage(타임업) 최초 목격	1391033754222592141/erg.png
2025-07-25	Phantasmal World 3 Extreme 솔로 0데스	1398319107669229588/pw3.png
2025-07-28	7년만의 첫 PGF 드랍	1399513406314254396/image.png
2025-08-30	솔로 RT 16:15	1417795077018882112/7D138A3B-3984-458E-A1A8-9873D686F195.png
2025-09-17	솔로 RT 15:56	1421125317476487321/704CC3BD-5B37-48B3-966E-9CDC131CF9CA.png
2025-09-27	MPC 상점 전 품목 완주 (영상)	1421589873995022560/PHANTASY_STAR_ONLINE_Blue_Burst_2025-09-28_05-09-36.mp4
2025-10-02	솔로 RT 15:49	1423156664345038858/4FF6B23D-7C88-4C40-A95C-DCCAF297FF68.png
2025-10-02	솔로 RT 15:37	1423162650199588884/2BD0622B-3E22-46FA-B0C6-79AF68F70B29.png
2025-10-05	Max Nefarious Needle	1424285318533615716/image.png
2025-10-08	첫 Cladding 드랍	1425308511830675466/pso1759890119.jpeg
2025-11-12	TTM — Lv1 83판 + Lv2 8판	1438024850634440826/image.png
2025-11-15	LSR Extreme 첫 클리어	1439082246874202213/image.png
2025-11-26	Manipulator III 그라인드 완료	1443368572675035279/image.png
2025-11-30	DN 5분 미만	1444519998205722625/pso1764311942.jpeg
2025-12-01	DN 서버기록 4:36	1444902158464974918/D027A4A7-257A-4FD2-A937-E122F0A45CC5.png
2025-12-01	DN 4분 미만	1444910017890357431/pso1764563728.jpeg
2025-12-16	Millennium Shop 전 품목	1450388639891591180/IMG_5177.jpg
2025-12-26	Ignis Engine 완성	1453990248483786824/image.png
2026-01-01	첫 계정 4캐릭 200레벨	1456354595767844914/image.png
2026-02-07	Astral Cloak 완성	1469616364908974195/image.png
2026-02-08	솔로 RT 14:48 (PB 없이)	1470164663491625101/A5D67C58-7F63-418A-8FAB-EBA9123542FA.png
2026-02-10	첫 100 hit 크레이트 아이템	1470931934338093189/pso1770767730.jpg
2026-02-11	Jointparts 제작	1471015332662476942/image.png
2026-02-12	Wrath of the Forest 크레이트 100개 / 13시간 59분	1471443272407846912/20260212_034718.jpg
2026-02-19	100 Hit Frostbite	1474179859629740118/image.png
2026-02-22	크레이트 400개 이상 후 첫 100 hit	1475100298220408873/IMG_0563.jpg
2026-03-04	8-3 Olga 솔로 첫 클리어	1478734112662749305/image.png
2026-03-04	BTV 솔로 47분	1478761552483193023/image.png
2026-03-05	Discontrolled 역할 획득	1478974892102648022/Discontrolled.jpg
2026-03-11	DN 3분 미만 최초	1481122913879855216/image.png
